'OeLin.OrderNo','OeLin.LineItemType','OeLin.RowNum','OeLin.ItemNumber','OeLin.Description','IOS.SellQtyRemain','IOS.SellUnitPrice','Total.RemainingNetWDiscWTax'
'13921','0',32,'.066623','QUICK COUPLING AIR M NPT-F DIS',1.00000,46.55000,46.55000
'13921','0',31,'.064827','LANYARD RING 3/4"  ZINC PLATED',3.00000,71.49000,214.47000
'13921','0',30,'.095656','TUBE COMPENSATOR MOUNT',1.00000,39.98000,39.98000
'13921','0',54,'.065363','CYLINDER PLATFORM 4 X 12  2" ROD',1.00000,1770.84000,1770.84000
'13921','0',53,'.027559','WELDMENT CHANNEL CYLINDER MOUNT',1.00000,281.56000,281.56000
'13921','0',52,'.063002','CYLINDER 3 X 192 B5195  TELE UB40-60',1.00000,6909.45000,6909.45000
'13921','0',51,'.068202','PLATFORM 40 X 60 UB30/50/60 SOLID SIDE',1.00000,12775.00000,12775.00000
'13921','0',50,'.069285','D BUMPER MATL - 12" LG BUYERS # D312',1.00000,21.45000,21.45000
'13921','0',49,'.095298','BUMPER 3.00 DIA X 4.50',2.00000,69.17000,138.34000
'13921','0',48,'.095226','PLATFORM REST WELDMENT A40-2',1.00000,377.71000,377.71000
'13921','0',47,'.067288','FLAT BAR PLATFORM REST',2.00000,16.87000,33.74000
'13921','0',46,'.066907','BASE PLATE-PLATFORM REST',2.00000,36.87000,73.74000
'13921','0',45,'.066904','WELDMENT PIPE-REST SOCKET',2.00000,183.67000,367.34000
'13921','0',44,'.063684','STRAIN RELIEF 90 NYLON .31-.56 1/2" NPT',1.00000,11.88000,11.88000
'13921','0',43,'.063685','STRAIN RELIEF 90 NYLON .50-.75 3/4" NPT',1.00000,35.62000,35.62000
'13921','0',42,'.063570','STRAIN RELIEF NYLON .20 - .35 1/2" NPT',4.00000,2.37000,9.48000
'13921','0',41,'.063847','STRAIN RELIEF NYLON .51 - .71 3/4" NPT',2.00000,3.12000,6.24000
'13921','0',87,'.100600','ROLLER 3RD BOOM 4 OD X 8 LG POLY',2.00000,310.00000,620.00000
'13921','0',68,'.026814','TUBE MOUNTING 1 1/2 SQUARE WELDED',3.00000,32.27000,96.81000
'13921','0',86,'.026145','ROLLER HOLDER 1 ROUND X 5 1/8',4.00000,73.00000,292.00000
'13921','0',85,'.061264','ROLLER NYLON',4.00000,83.54000,334.16000
'13921','0',61,'.029236','WELDMENT ROLLER PLATE',1.00000,405.91000,405.91000
'13921','0',84,'.026726','PIN DETAIL 2 4140 TGP X 11 5/16',1.00000,110.82000,110.82000
'13921','0',83,'.026725','PIN DETAIL 2 4140 TGP  X 8 3/4',1.00000,96.33000,96.33000
'13921','0',82,'.021837','SNAP RING 2 X .120  5160-200ZD',4.00000,3.18000,12.72000
'13921','0',69,'.028449','WELDMENT CATRAC MOUNTING TUBE',1.00000,90.16000,90.16000
'13921','0',70,'.026816','ANGLE GUIDE 2 X 2 X 1/4 X 10 1/16',1.00000,50.34000,50.34000
'13921','0',71,'.030268','ANGLE TIE DOWN 1 X 1 X 1/8 X 9 1/2',1.00000,35.04000,35.04000
'13921','0',72,'.030267','HOSE BAR 3/16 X 1 1/4',1.00000,25.96000,25.96000
'13921','0',81,'.060637','BOOM REST CUSHION 1/2 X 4 NYLON X 9 1/2',1.00000,163.22000,163.22000
'13921','0',80,'.066911','BOOM REST CUSHION 1/2 X 4 NYLON X 9 1/2',1.00000,243.90000,243.90000
'13921','0',79,'.091946','PLATFORM HANGER A40 NEW',1.00000,1837.30000,1837.30000
'13921','0',78,'.061209','PIN HEXSTOCK  2" 41L40 X 14 1/8  UB50',1.00000,256.95000,256.95000
'13921','0',77,'.026958','PIN WELDMENT 2 X 12 1/8 GRIP',1.00000,168.63000,168.63000
'13921','0',76,'.062786','CYLINDER SUPPORT FLAT BAR',1.00000,62.13000,62.13000
'13921','0',75,'.066126','MOUNT BAR-CATRAC 1/8 X 1 FB X 6-1/4" LG',1.00000,50.47000,50.47000
'13921','0',73,'.066469','3RD BOOM WELDMENT INNER A40-1',1.00000,7472.10000,7472.10000
'13921','0',74,'.029108','COVER CATRAC 16 GA X 7 15/16 X 12 7/16',1.00000,40.62000,40.62000
'13921','0',67,'.028011','WELDMENT HOSE GUIDE',1.00000,1013.16000,1013.16000
'13921','0',66,'.065812','TUBE WELDMENT-CATRAC (UB40)',1.00000,639.63000,639.63000
'13921','0',65,'.026801','CATRAC BOX WELDMENT UB40-UB50',1.00000,2355.60000,2355.60000
'13921','0',59,'.028198','BAR STOP 1/2 X 4 X 8',1.00000,124.03000,124.03000
'13921','0',64,'.061741','BRACKET WELDMENT',1.00000,158.95000,158.95000
'13921','0',63,'.103524','PIN WELDMENT 1 1/2 4140 TGP X 8 11/16',1.00000,93.04000,93.04000
'13921','0',62,'.029224','PLATE DETAIL 1/4  X 2 7/8 A 656 GRD 80',1.00000,80.30000,80.30000
'13921','0',60,'.103525','PIN WELDMENT 1" TGP X 8 11/16',2.00000,102.86000,205.72000
'13921','0',58,'.026734','PIN WELDMENT 1 1/2 4140 TGP X 9 7/32',2.00000,86.62000,173.24000
'13921','0',57,'.026731','WELDMENT ROLLER',1.00000,761.53000,761.53000
'13921','0',56,'.597100','CLAMP EXHAUST 3 1/2" 35753',1.00000,13.72000,13.72000
'13921','0',55,'.067269','WELDMENT BOOM 3 OUTER A40-1',1.00000,14752.98000,14752.98000
'13921','0',94,'.023035','SNAP RING 1" X .078  ZINC SHR98 ZD',2.00000,1.03000,2.06000
'13921','0',93,'.061736','BEARING ROLLER  GR-20-SS',4.00000,87.32000,349.28000
'13921','0',92,'.061279','ROLLER STEEL - MACHINED 2 1/2 X 1 X 8',2.00000,435.92000,871.84000
'13921','0',91,'.020234','NYLON WEAR PAD 3/4 X 2 X 8',1.00000,58.59000,58.59000
'13921','0',90,'.020215','NYLON WEAR PAD 3/4 X 2 X 4 15/16',3.00000,108.37000,325.11000
'13921','0',89,'.023034','SNAP RING 1 1/2 X .109  5160-150ZD',4.00000,1.65000,6.60000
'13921','0',88,'.026711','BEARING WIDE INNER RING RA-108-RR',4.00000,117.42000,469.68000
'13921','0',112,'.081277','CABLE 18/3 WIRE SJEOOWA',150.00000,0.63000,94.50000
'13921','0',106,'.066125','3/8" THREADED ROD X 7" LG',2.00000,24.89000,49.78000
'13921','0',111,'.047787','COUNTERBALANCE VALVE 10:1  1500 PSI',2.00000,221.15000,442.30000
'13921','0',110,'.043451','BEARING RING MI 16',4.00000,25.87000,103.48000
'13921','0',107,'.095373','PIN WELDMENT A40 1" X 3"',2.00000,75.78000,151.56000
'13921','0',108,'.065364','BUSHING OILITE 1 3/8OD X 1 ID X 1 1/2',1.00000,9.18000,9.18000
'13921','0',109,'.021113','BEARING DX  2 ID X 1 1/2 LG',2.00000,13.27000,26.54000
'13921','0',105,'.066060','WHEEL-CATRAC TUBE 1/4 NSM X 2-5/8 DIA',2.00000,50.26000,100.52000
'13921','0',104,'.427700','BUSHING BRONZE 1 3/8OD X 1" ID X 1" LG',4.00000,6.80000,27.20000
'13921','0',103,'.023728','PIN DETAIL 1 DIA X 2 3/4 PLATED',2.00000,310.25000,620.50000
'13921','0',102,'.065278','CUSHION 1/4 X 2 X 9',1.00000,44.63000,44.63000
'13921','0',101,'.020456','WEAR PAD 1/4 X 2 X 4 1/2 NYLON',1.00000,25.23000,25.23000
'13921','0',100,'.017740','FLATWASHER SPECIAL 2.0625 ID',2.00000,20.96000,41.92000
'13921','0',99,'.028014','NYLON WEAR PAD 1/2 X 3 7/8 X 6',2.00000,41.79000,83.58000
'13921','0',98,'.028010','HOSE CARRIER SC-75 GTW 11811',1.00000,957.50000,957.50000
