Company,PartNum,PartDescription,IUM,PUM,ClassID,ProdCode,CommodityCode,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,UnitPrice,TrackSerialNum,SNFormat,SNBaseDataType,,,,TrackSerialNum
VUK,04392-1,"Pin,Leg Cylinder 100mm X 25mm",EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,15.19,0,,,,,,
VUK,04-6429-02-01,Turret Valve Cover Land Rover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,42.49,0,,,,,,
VUK,04-7853-30-02,Splitter Mount Plate - Vdt-170-F,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,38.22,0,,,,,,
VUK,05-0249,Ø6mm - Black+Yellow Steel Chain - 15M,EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,159.99,0,,,,,,
VUK,05-10227-00-07-8,Axle Pin 25 X 205,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,153.39,0,,,,,,
VUK,05-10227-31-01,"Lower Support, Weldment",EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,539.27,0,,,,,,
VUK,05-10227-33-01,"Bucket Support, Weldment",EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,539.27,0,,,,,,
VUK,05-10227-44-04-,Shim,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,10.61,0,,,,,,
VUK,05-10433-171-01,Levelling Rod 1850 Assy,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,273.48,0,,,,,,
VUK,05-10644-00-04,Sensor Bracket,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,22.18,0,,,,,,
VUK,05251124,Zinc Alloy Coat Hook (Double),EA,EA,37,37,8431390000,P,A,0,Count,FALSE,FALSE,Other,4.1,0,,,,,,
VUK,0-531-05,"12/24Von-Off Switch.Led(Round,Red Ind'R",EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,7,0,,,,,,
VUK,0-538-12,Worklamp 12 Volt,EA,EA,22,22,8431390000,P,A,0,Count,FALSE,FALSE,Other,23.37,0,,,,,,
VUK,0-538-24,Worklamp 24 Volt,EA,EA,21,21,8431390000,P,A,0,Count,FALSE,FALSE,Other,23.55,0,,,,,,
VUK,05-4980-00-07,End Washer For Boom Pin - Land Rover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,2.53,0,,,,,,
VUK,05-4980-00-11,Bolted Lock Plate,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,12.9,0,,,,,,
VUK,05-4980-00-12,End Washer For Leg Pin - Land Rover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,12.23,0,,,,,,
VUK,05-4980-62-01,Bucket Support Weldment,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,1152.03,0,,,,,,
VUK,0550-00-13,End Washer For Rod End,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,6.3,0,,,,,,
VUK,0550-01-02,Piston For Switch,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,92.89,0,,,,,,
VUK,0550-01-03,Ball Joint Outer,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,51.3,0,,,,,,
